,cluster_label,price_per_stay,review_scores_rating,Neighborhood,Property,Room Type
190,4,280.0,100,Rancho Penasquitos,House,Private room
191,4,276.0,99,University City,House,Private room
192,4,276.0,97,Normal Heights,House,Private room
193,4,275.0,100,University City,Apartment,Private room
194,4,273.0,100,Serra Mesa,House,Private room
195,4,270.0,98,Northwest,House,Private room
196,4,270.0,100,Rancho Penasquitos,House,Private room
197,4,270.0,100,East Village,Loft,Private room
198,4,266.0,87,Mira Mesa,Townhouse,Private room
199,4,264.0,100,Rancho Bernadino,House,Private room
200,5,261.0,98,Loma Portal,Apartment,Entire home/apt
201,5,260.0,98,North Hills,Apartment,Private room
202,4,260.0,99,Balboa Park,House,Private room
203,4,260.0,97,University City,House,Private room
204,4,258.0,100,College Area,House,Private room
205,4,252.0,100,Mira Mesa,Townhouse,Private room
206,4,252.0,100,Mira Mesa,House,Private room
207,5,250.0,100,La Jolla,Apartment,Private room
208,5,250.0,99,El Cerritos,House,Private room
209,4,250.0,100,Pacific Beach,House,Private room
210,4,250.0,100,Clairemont Mesa,Bungalow,Private room
211,5,250.0,98,Scripps Ranch,Guesthouse,Private room
212,4,250.0,80,La Jolla,House,Private room
213,4,250.0,98,Scripps Ranch,House,Private room
214,4,245.0,100,Mira Mesa,Townhouse,Private room
215,0,240.0,97,Normal Heights,Guesthouse,Entire home/apt
216,4,240.0,98,North Clairemont,Apartment,Private room
217,4,240.0,83,Rancho Penasquitos,House,Private room
218,4,240.0,100,Rancho Penasquitos,House,Private room
219,4,240.0,98,La Jolla,Apartment,Private room
220,4,240.0,100,College Area,House,Private room
221,5,238.0,95,Marina,Apartment,Private room
222,4,237.0,100,North Hills,House,Private room
223,4,237.0,95,East Village,Apartment,Private room
224,5,231.0,92,Core,Condominium,Private room
225,5,225.0,100,Bay Park,House,Private room
226,4,224.0,100,North Hills,Condominium,Private room
227,4,220.0,98,Moreno Mission,Condominium,Private room
228,4,220.0,93,La Jolla,Villa,Private room
229,4,220.0,90,North City,Townhouse,Private room
230,4,220.0,91,Mountain View,House,Private room
